feature,mean_importance
Organic_carbon,-0.001720128341612992
Conductivity_diff_Trihalomethanes,-0.0005275814426163094
Trihalomethanes,-0.00041569651823825104
Turbidity_sum_Trihalomethanes,-0.0002003639796686274
ph_diff_Trihalomethanes,-0.0001307870626116703
Conductivity,-2.0745847949155128e-05
Hardness,0.0001789423233840015
Trihalomethanes_multiply_Sulfate,0.00027765008166249496
Turbidity,0.00065872293312903
Sulfate_ratio_Turbidity,0.0014428434166965376
Turbidity_ratio_Sulfate,0.0015869509926570657
Conductivity_multiply_Hardness,0.0018126077789938576
Hardness_diff_Organic_carbon,0.0020808945292061674
Chloramines_sum_Hardness,0.00225533333969945
Trihalomethanes_multiply_Chloramines,0.004053736630268134
Solids,0.004305433894240806
Chloramines,0.007581285192912568
ph,0.028494917385454954
Sulfate,0.03170082771596701
