feature,mean_importance
Turbidity,-0.0005063942890698225
Conductivity,-0.00020804801976546106
Trihalomethanes,6.0226634756488374e-05
Organic_carbon,0.00037764627730800803
Hardness,0.003120954206792881
Solids,0.003838203524564365
Chloramines,0.00415118296469319
ph,0.017188409827149885
Sulfate,0.028488879398332313
