feature,mean_importance
Turbidity,-0.0018448580139679427
Organic_carbon,-0.0009996687028237083
Trihalomethanes,-0.0008976542383409836
Turbidity_sum_Trihalomethanes,-0.0004661629617610741
Chloramines_sum_Hardness,0.0016431052768413057
ph_diff_Trihalomethanes,0.0017366737163431178
Conductivity,0.0021725112821344927
Trihalomethanes_multiply_Sulfate,0.0022499942838498876
Turbidity_ratio_Sulfate,0.0022917447921086296
Hardness,0.002547353805792274
Conductivity_multiply_Hardness,0.0025994654794946337
Hardness_diff_Organic_carbon,0.00424336223450592
Conductivity_diff_Trihalomethanes,0.004331248576018187
Sulfate_ratio_Turbidity,0.004736472380149559
Trihalomethanes_multiply_Chloramines,0.006145101185248625
Solids,0.00831651584022739
Chloramines,0.012551491989974562
Sulfate,0.026334586826917517
ph,0.03318820515778833
