feature,mean_importance
Turbidity_sum_Trihalomethanes,-0.0004977420477699113
Conductivity,-0.0003781024243068032
ph_diff_Trihalomethanes,-0.00023763770752325276
Organic_carbon,-0.00017684337342553923
Turbidity_ratio_Sulfate,-2.070522393722296e-05
Trihalomethanes,7.947889147286169e-06
Turbidity,0.00023186086794464434
Conductivity_multiply_Hardness,0.00026880221003013907
Chloramines_sum_Hardness,0.0003621641569823364
Conductivity_diff_Trihalomethanes,0.0004649671848210524
Hardness_diff_Organic_carbon,0.0007159955321590416
Sulfate_ratio_Turbidity,0.0008037361727771142
Trihalomethanes_multiply_Chloramines,0.0008202018311502801
Trihalomethanes_multiply_Sulfate,0.001212657480969903
Chloramines,0.0013242921378742833
Hardness,0.002135742689108211
Solids,0.004093312993454767
Sulfate,0.008362116601289493
ph,0.009279593947698794
