feature,mean_importance
Sulfate_ratio_Turbidity,-0.0014047742929856667
Organic_carbon,-0.0010654307954056862
ph_diff_Trihalomethanes,-0.0010330276606090206
Conductivity_multiply_Hardness,-0.0006386583852275197
Hardness_diff_Organic_carbon,-0.0005759231806290455
Chloramines_sum_Hardness,0.0006832973434075518
Hardness,0.001559150904204265
Trihalomethanes,0.001685946997198129
Turbidity_ratio_Sulfate,0.002177593736253036
Conductivity,0.002232078854003583
Turbidity,0.002310698733820349
Conductivity_diff_Trihalomethanes,0.002791171617028909
Turbidity_sum_Trihalomethanes,0.0029851635434312573
Trihalomethanes_multiply_Sulfate,0.004395802611062649
Trihalomethanes_multiply_Chloramines,0.004748260830933737
Solids,0.010711427541870554
Chloramines,0.01408562824991071
Sulfate,0.02806901211086288
ph,0.04121404287337789
