feature,mean_importance
Organic_carbon,-0.0018248755685973395
ph_diff_Trihalomethanes,-0.0002918042013110078
Trihalomethanes,-0.00022214918358172132
Conductivity_multiply_Hardness,0.0003876540473585433
Conductivity_diff_Trihalomethanes,0.0011487658552860047
Turbidity_ratio_Sulfate,0.002047565537353502
Hardness_diff_Organic_carbon,0.002101392777234712
Conductivity,0.0023502957680457738
Hardness,0.0026275502567900235
Sulfate_ratio_Turbidity,0.0031384991562142693
Turbidity,0.004237894618091475
Trihalomethanes_multiply_Sulfate,0.004614654213536906
Turbidity_sum_Trihalomethanes,0.004744986497285541
Chloramines_sum_Hardness,0.00478321916219866
Trihalomethanes_multiply_Chloramines,0.005516197604143347
Chloramines,0.005697521421570317
Solids,0.01303747659958272
Sulfate,0.026028602610080442
ph,0.03688455785127143
