feature,mean_importance
Organic_carbon,-0.0020688977229968986
Turbidity,-0.0019096236544559053
Conductivity,-0.00038643512846980865
Trihalomethanes,0.00045165308816847994
Hardness,0.013271289244761819
Solids,0.017901407454843053
Chloramines,0.0253596279814039
ph,0.04415438972646124
Sulfate,0.04673846671037394
