feature,mean_importance
Turbidity,-0.0017636456906703567
Trihalomethanes_multiply_Sulfate,-0.0009148322197632286
Turbidity_sum_Trihalomethanes,-0.0008029322402962835
Organic_carbon,-0.0005873485837059045
Conductivity_diff_Trihalomethanes,-0.00013386589883959132
ph_diff_Trihalomethanes,1.1766139504487683e-05
Turbidity_ratio_Sulfate,0.00023389682938483868
Hardness,0.00047580640947071374
Chloramines_sum_Hardness,0.0006139459121426549
Hardness_diff_Organic_carbon,0.0006348265857071267
Sulfate_ratio_Turbidity,0.0006424732033787128
Trihalomethanes,0.0018104881775683924
Conductivity_multiply_Hardness,0.0022970599816507066
Conductivity,0.0028294738171334988
Trihalomethanes_multiply_Chloramines,0.002861622042534906
Solids,0.005267309312590784
Chloramines,0.008037996246720103
Sulfate,0.026296171175049943
ph,0.027639364615159923
